player_id,team,disposals_avg_last3,disposals_avg_last5,disposals_avg_last10,goals_avg_last3,goals_avg_last5,goals_avg_last10,fantasy_avg_last3,fantasy_avg_last5,fantasy_avg_last10,games_played_prior,home_away,win_rate_last5,ladder_rank_pre,rest_days
45521,West Coast Eagles,20.666666666666668,20.8,20.11111111111111,,1.0,1.0,68.66666666666667,72.2,68.0,178,H,0.6,1.0,6.0
44087,West Coast Eagles,24.0,24.6,19.2,0.3333333333333333,0.2,0.1,87.66666666666667,88.6,70.5,14,H,0.6,1.0,6.0
44451,Richmond Tigers,15.333333333333334,17.6,20.0,0.0,0.2,0.2,65.33333333333333,70.0,80.0,147,A,0.4,2.0,6.0
43746,Fremantle Dockers,15.333333333333334,16.4,14.9,0.0,0.0,0.1,56.0,65.0,61.6,21,A,0.6,10.0,6.0
45783,Sydney Swans,14.0,11.4,12.0,2.5,2.0,2.0,72.33333333333333,58.4,62.8,302,H,0.4,8.0,6.0
45093,Sydney Swans,7.666666666666667,7.8,7.571428571428571,0.0,0.2,0.42857142857142855,38.0,41.2,39.714285714285715,7,H,0.4,8.0,6.0
43736,Hawthorn Hawks,11.666666666666666,12.2,15.1,1.6666666666666667,1.2,0.6,62.666666666666664,57.8,64.9,15,H,0.2,6.0,7.0
45392,Port Adelaide Power,23.0,23.6,21.9,,,1.0,73.33333333333333,72.0,71.9,239,H,0.2,6.0,7.0
46322,Sydney Swans,9.0,8.5,8.0,,1.0,1.0,38.0,41.2,39.714285714285715,7,H,0.4,8.0,6.0
45677,Essendon Bombers,15.0,13.333333333333334,11.0,2.5,2.75,2.75,69.0,71.6,65.2,269,A,0.2,5.0,6.0
44616,North Melbourne Kangaroos,2.3333333333333335,1.0,1.0,0.0,0.0,0.0,40.333333333333336,33.0,33.0,4,A,0.4,9.0,6.0
45336,Sydney Swans,12.0,12.0,11.666666666666666,,,,42.333333333333336,43.2,42.2,236,H,0.4,8.0,6.0
45658,Port Adelaide Power,13.666666666666666,11.8,10.8,1.0,1.0,1.2,86.0,73.0,68.3,233,H,0.2,6.0,7.0
43263,Sydney Swans,12.0,11.6,12.6,1.0,0.8,0.6,59.0,54.8,53.1,132,H,0.4,8.0,6.0
45456,Sydney Swans,9.666666666666666,10.4,11.3,,1.0,1.0,35.666666666666664,43.8,45.4,222,H,0.4,8.0,6.0
45958,Melbourne Demons,19.0,24.8,25.8,,,,74.0,94.0,95.9,134,H,0.2,4.0,8.0
45959,Melbourne Demons,9.0,10.0,12.88888888888889,1.0,1.0,1.0,33.333333333333336,41.4,54.4,149,H,0.2,4.0,8.0
45841,Melbourne Demons,10.0,9.8,9.0,4.0,3.5,2.5555555555555554,67.0,64.2,59.9,227,H,0.2,4.0,8.0
44316,Essendon Bombers,16.5,16.0,20.555555555555557,1.0,1.0,0.9,74.0,74.0,82.0,87,A,0.4,2.0,6.0
44951,Essendon Bombers,17.333333333333332,18.8,19.0,0.6666666666666666,1.2,0.9,75.0,83.2,79.8,54,A,0.4,2.0,6.0
45233,Carlton Blues,15.5,14.5,13.666666666666666,0.0,0.0,0.2,52.666666666666664,53.0,59.8,115,A,0.8,4.0,7.0
44811,Brisbane Lions,5.0,5.4,6.9,0.3333333333333333,0.2,0.1,53.666666666666664,55.8,56.5,49,H,0.4,3.0,7.0
45904,Carlton Blues,24.666666666666668,24.2,23.8,1.5,1.5,1.6,90.33333333333333,96.6,91.8,230,A,0.8,4.0,7.0
45844,Collingwood Magpies,8.0,8.0,8.1,1.0,1.0,1.3333333333333333,39.0,45.0,43.4,241,A,0.8,2.0,7.0
45775,Brisbane Lions,12.666666666666666,14.6,13.6,1.0,1.5,1.25,53.333333333333336,64.4,58.8,207,A,0.6,2.0,6.0
45875,Adelaide Crows,10.333333333333334,11.5,13.666666666666666,,,1.0,38.333333333333336,47.2,55.8,150,A,0.8,1.0,8.0
45956,Western Bulldogs,17.0,13.5,11.666666666666666,1.0,1.25,1.8571428571428572,70.0,65.0,60.5,204,A,0.8,2.0,7.0
